,reviews,sentiment,int_category
5986,u right we gotta uplift each other my nigga u knw ima cancer u gone have a nigga in here dropn a tear 😂,strongly positive,1.0
5987,exactly 😂 let’s hope so,strongly positive,1.0
5988,thats how it gotta be 😂,strongly positive,1.0
5989,he be going hard for the nets 😂 he a snitch and all but as a baller only he be going hard ⛹🏽‍♂️,strongly positive,1.0
5990,shit me too 😭 i was low key debating on jumping on the deangelo russel bandwagon 🤣🤣🤣🤣,negative,2.0
5991,cause i was out of flour 😂,strongly positive,1.0
5992,please i know nothing and im from pittsburgh 😂,strongly positive,1.0
5993,lucy does this too 😂,strongly positive,1.0
5994,yess mine look like caterpillars thank god i get mine waxed later today so i can do my makeup again and look decent 😂,strongly positive,1.0
5995,nigga u better be watching dylan oc ass 😂,strongly positive,1.0
5996,and i fighting the wind at six flags tonight 😂,strongly positive,1.0
5997,right who would have thought 😂,strongly positive,1.0
5998,he ron artested his ahh 😂,strongly positive,1.0
5999,yup nothing br christmas music now 😭,negative,2.0
6000,lou tas tord 😂,strongly positive,1.0
6001,i’m so upset i can’t find it rn 😭,negative,2.0
6002,i aint no fan of super big ass titties either but it gotta be something there 😭,negative,2.0
6003,i do i was just trying to get to class and i would hear them start 😭,negative,2.0
6004,dude one time i was alone at his house and she kept scaring the shit out of me 😭,negative,2.0
6005,i wanna write it 😭,negative,2.0
6006,now only you realize that im hot 😂,strongly positive,1.0
6007,like if ppl leak it 😭,negative,2.0
6008,your welcome glad you liked it 😂,strongly positive,1.0
6009,i’m the guy in the beginning of the video that gets shit on by the robot 😂,strongly positive,1.0
6010,oh emm sure fun fact tricia was faiths blockmate back in the day 😂 they werent close though,strongly positive,1.0
6011,yeah then you just got pissed and started pushing 😂,strongly positive,1.0
6012,same here im 😭,negative,2.0
6013,oh i know hahaha id rather be alone then have my time being wasted and get cheated on though so i guess its okay 😂,strongly positive,1.0
6014,i can try but you’ll have to remember your whole schedule to sent it to me 😂,strongly positive,1.0
6015,well it’s true i mean look at buddy  😂,strongly positive,1.0
6016,oh i know thank u for not posting those 😂,strongly positive,1.0
6017,yall try way too hard 😂 he already had his arms crossed prior to the question being asked as fa…,strongly positive,1.0
6018,any president who suggests leaving american  citizens behind is not worthy of the office 😡,strongly negtive,0.0
6019,hey    hire another special counsel in germany 😂 yep hs bff  donor…,strongly positive,1.0
6020,mueller is getting closet 😂 😂 😂,strongly positive,1.0
6021,oh new york 😂 rats on a train never gets old 🐭🐀,strongly positive,1.0
6022,ohh lordyand the press is really going along with  shenaniganscome on really 😕,neutral,5.0
6023,omg i would have crashed my car then lit it in fire 🔥 😂,strongly positive,1.0
6024,roy moore just boarded the train or what 😂,strongly positive,1.0
6025,you really should see carter in this episode 😂,strongly positive,1.0
6026,this is a dream come true  andd  christmas movies especially home alone im going to cry 😂,strongly positive,1.0
6027,tired of winning yet 😂 f u trump,strongly positive,1.0
6028,who are those chicks on the right  😂,strongly positive,1.0
6029,you stand beside jimin please telling me how he smelled 😭,negative,2.0
6030,namjoon 😭 youre killing me,negative,2.0
6031,😂 thank you for loving our boys ❤,strongly positive,1.0
6032,😂 thank you for loving our boys ❤,strongly positive,1.0
6033,that shit was hilarious 😂 😂 😂 😂,strongly positive,1.0
6034,no i don’t have that type of money rn 😂 omg you did did you like it this is my fav flavor 😩💦,strongly positive,1.0
6035,you make a good point 😂,strongly positive,1.0
6036,yeah exactly she wants you to be your true self 😂,strongly positive,1.0
6037,you with me 😂 take it to the grave,strongly positive,1.0
6038,aka the only important part 😂,strongly positive,1.0
6039,just said forget the saints huh 😂,strongly positive,1.0
6040,those crab legs though 😭,negative,2.0
6041,yoo i wanted to discuss this movie but no one knew wtf i was talking about 😂,strongly positive,1.0
6042,you made me ride in the boot 😭,negative,2.0
6043,yea only person allowed to take my pics is me with a snapchat camera 😂,strongly positive,1.0
6044,lookin a little snugs these days 😂,strongly positive,1.0
6045,and ignore my poor sentence structure brought to you by fatigue 😂,strongly positive,1.0
6046,that poor kid he really has no idea what his father is 😕,neutral,5.0
6047,wo to yaad hi nahi raha we’re getting fucked tomorrow 😂,strongly positive,1.0
6048,lool oh i like this girl yeah is that what you assume 😂 barely know me barely kno…,strongly positive,1.0
6049,😂 get out of my mentions now prick,strongly positive,1.0
6050,ana wnta w sheref hnba toal awi lehom 😂,strongly positive,1.0
6051,man was i even trying to impress you ma tehes beed any 😂,strongly positive,1.0
6052,na you them go use do scape goat 😂,strongly positive,1.0
6053,that’s my height 😭,negative,2.0
6054,ngl this looks literally nothing like either of you 😂,strongly positive,1.0
6055,someone said he got tasbih arms 😭,negative,2.0
6056,devin your team is ass 😂 finsdown,strongly positive,1.0
6057,my nightmares are coming back 😭,negative,2.0
6058,it has me shook 😂 but i really hate the chiefs so i’m rootin 💙,strongly positive,1.0
6059,i cant believe it 😭 i was shook,negative,2.0
6060,😂 he’ll just fat i trust her ai,strongly positive,1.0
6061,you’re my senior in that aspect 😂,strongly positive,1.0
6062,im guessing thats a ps game and youre asking if i play it or not and the answer is no 😂,strongly positive,1.0
6063,im trying 😂,strongly positive,1.0
6064,you’ll need women who agree to this too btw 😭,negative,2.0
6065,give me  years and i’ll get it 😂,strongly positive,1.0
6066,yes i love it 😭,negative,2.0
6067,and that sir is the exact convo 😭,negative,2.0
6068,nigga fuck no 😂 they be licking their ass and shit,strongly positive,1.0
6069,nuh know why dem a move so strong 😂,strongly positive,1.0
6070,had to add bitchs cuz life 😂,strongly positive,1.0
6071,she has her own red carpet backstage she so extra i love it 😂,strongly positive,1.0
6072,i ended up realizing that so now i’m happy 😂,strongly positive,1.0
6073,josh be patient and trust the process 😂,strongly positive,1.0
6074,get fucked cunt 😂,strongly positive,1.0
6075,theyre still harsh to twice as a whole group but soft for some members 😂,strongly positive,1.0
6076,ffs what the hell has andrei been eating herald have actually outdone sun  record for barrel scraping 😂,strongly positive,1.0
6077,too bad then maybe we would know how you chipped your tooth 😂,strongly positive,1.0
6078,well i won’t go as far as putting my house on it 😂,strongly positive,1.0
6079,i knew i shouldn’t have read the whole thread  😭,negative,2.0
6080,yes 😡 it was brief though,strongly negtive,0.0
6081,put dat damn ring on your mouth 😂,strongly positive,1.0
6082,lol i agree with it tho 😂,strongly positive,1.0
6083,i was just talking bout this lastnight to anthony 😂 he was just as disgusted as me,strongly positive,1.0
6084,i hate people 😡,strongly negtive,0.0
6085,i would’ve loved a “f the sheriff too” sticker 😂,strongly positive,1.0
6086,what are the odds that twitter is trying brew up something  😂,strongly positive,1.0
6087,yea all are op 😂,strongly positive,1.0
6088,only real ones know 😂,strongly positive,1.0
6089,like everything lmao 😂,strongly positive,1.0
6090,its hella water proof 😂 gotta scrub that shit off,strongly positive,1.0
6091,let’s go back 😂,strongly positive,1.0
6092,they say god’s timing is the best 😂,strongly positive,1.0
6093,hahaha i wish i could retweet that 😂,strongly positive,1.0
6094,the difference between jenabi ops and jarabi ops is night and day 😂 but i love them both 😍,strongly positive,1.0
6095,doctors are also a part of society 😂,strongly positive,1.0
6096,honestly it was nothing but genius 😭,negative,2.0
6097,okay now i have to convice  person 😂,strongly positive,1.0
6098,c’mon  you’ll come in zürich anyway 😂,strongly positive,1.0
6099,so can we now talk about formula e  😂,strongly positive,1.0
6100,kya likha tha its deleted but i wanna see 😭,negative,2.0
6101,oho south african president is off job these days what about him 😂,strongly positive,1.0
6102,i think it was the last sentence along with the banner pic that got me but yep that too 😂,strongly positive,1.0
6103,had to have a few goes to get the wording that was suitable 😂,strongly positive,1.0
6104,i really think it is tbh 😂,strongly positive,1.0
6105,i barely understood what the actual hell he was saying 😂,strongly positive,1.0
6106,they prob know im just fed up w closin 😂,strongly positive,1.0
6107,i miss the view of me too 😭,negative,2.0
6108,just living that vivadelavega life 😂,strongly positive,1.0
6109,i want to so bad but im really scared 😂,strongly positive,1.0
6110,i️ boxed him in  got out  he was like “sorry about that” 😂,strongly positive,1.0
6111,imma spam you now 😂,strongly positive,1.0
6112,right 😂 doing all that extra sht for free lol,strongly positive,1.0
6113,i know 😭,negative,2.0
6114,it wasn’t even one it was multiple 😭,negative,2.0
6115,get drunk in celebration 😂,strongly positive,1.0
6116,i don’t even put in any effort anymore 😂 and it’s in,strongly positive,1.0
6117,“abbybeautyaddict” because abbybeautyaddict  was already taken 😂,strongly positive,1.0
6118,why can’t you watch it i don’t get it 😂,strongly positive,1.0
6119,no no genuine chat 😂😂😂 thats an old picture 😂,strongly positive,1.0
6120,what a good boy 😭,negative,2.0
6121,nobody asked you abigail 😂,strongly positive,1.0
6122,lovin is why i tweeted this 😂,strongly positive,1.0
6123,i just realized how many typos were in this tweet 😂,strongly positive,1.0
6124,hes fucking hilarious 😂,strongly positive,1.0
6125,you a liar you don’t ask me this when you nutmeg me and make me do the splits 😂,strongly positive,1.0
6126,oh the world would be perfectly fine without them 😂 thank you abi ❤❤,strongly positive,1.0
6127,oh the world would be perfectly fine without them 😂 thank you abi ❤❤,strongly positive,1.0
6128,no way 😂 are you okay,strongly positive,1.0
6129,😂 thx for believing that it would actually do that though fun times,strongly positive,1.0
6130,hahahahaha at least we aren’t alone 😂,strongly positive,1.0
6131,i so wish i could post all our videos 😭,negative,2.0
6132,im sorry to hear that 😕 could you submit a request please go to  and select ‘m…,neutral,5.0
6133,only if you go in front 😭,negative,2.0
6134,im saying for you to pay me that 😂,strongly positive,1.0
6135,🤔 hmm we’ll see 😂,strongly positive,1.0
6136,ngl its been my anthem 😂,strongly positive,1.0
6137,oh yeah your right haha 😂,strongly positive,1.0
6138,never failss 😂 i peeped for a second and i understood why so i was like 😳 i’ll wait,strongly positive,1.0
6139,💀 haven’t said that word since last time i saw you so i thought i would use it for the one time 😂,strongly positive,1.0
6140,have we not talked about this concert three times already 😂,strongly positive,1.0
6141,fail 😂,strongly positive,1.0
6142,i saw a good video on fb about wine and was going to tag you but then i realized that we werent friends 😭,negative,2.0
6143,life is a joke 😂,strongly positive,1.0
6144,i’m detecting more of a theme than most artists  times his age 😂,strongly positive,1.0
6145,hell yeah this shit all fucced up 😂,strongly positive,1.0
6146,my camera and mic are on standby 😂,strongly positive,1.0
6147,petty on a whole another level 😂,strongly positive,1.0
6148,literally know nothing about games other than star wars 😂,strongly positive,1.0
6149,wtf this ain’t no coincidence 😭,negative,2.0
6150,the darker side of liberals 😂,strongly positive,1.0
6151,i feel im the only person who doesnt know this fact 😂 lmao seriously though what a shit job,strongly positive,1.0
6152,i know 😂  ahh hmu 😉,strongly positive,1.0
6153,can’t wait for ur reaction to tonight’s episode of supergirl all the feels 😭,negative,2.0
6154,when i have been resdurected and pulled from my grave i’ll let you know 😂 its too much my brain has…,strongly positive,1.0
6155,😂 yes lol,strongly positive,1.0
6156,😂 sorry plus thanks for telling me cause i’ve been meaning to change it,strongly positive,1.0
6157,thanks to ayas tutorial 😂,strongly positive,1.0
6158,what a night 😂,strongly positive,1.0
6159,and you still talking a month after 😂,strongly positive,1.0
6160,girl you see our boys 😂,strongly positive,1.0
6161,witness just went out of billboard this week while joanne is still in 😂 nice try tho,strongly positive,1.0
6162,i’m what is that 😭,negative,2.0
6163,lingering and lingering  sometimes for years 😂,strongly positive,1.0
6164,lmao i’m just kidding it’s just my bill is ridiculous 😂 and omg wat crazy,strongly positive,1.0
6165,this nigga 😂,strongly positive,1.0
6166,lmao it’s really not joc is a beast 😭 will prob stick w him he had top  sets last year for me,negative,2.0
6167,bryan loves free shit so he might win too though 😂,strongly positive,1.0
6168,if that’s yo team own it 🅿️ i’m not trynna hear none of that blame game 😭,negative,2.0
6169,fuck 🤧 they need multiple locations 😭,negative,2.0
6170,i swear it’s been like that since we followed each other on twitter 😂,strongly positive,1.0
6171,i gotta check it out man 😭,negative,2.0
6172,i finally found my mom lmao 😂,strongly positive,1.0
6173,trust me dawg noo u dont 😭,negative,2.0
6174,have you watched the second video absolutely killed me 😂,strongly positive,1.0
6175,what clothes did i leave  i thought i took everything 😂,strongly positive,1.0
6176,how is it not 😂,strongly positive,1.0
6177,i honestly cannot wait for what’s gonna happen 😭,negative,2.0
6178,tweet of the year 😂,strongly positive,1.0
6179,look its rush hour 😂,strongly positive,1.0
6180,brah i️ saw that shit lmao 😂,strongly positive,1.0
6181,the last  min 😂,strongly positive,1.0
6182,please rt my rt deal huhu salamat 😭,negative,2.0
6183,ugh im excited to snuggle but damn im tired 😭,negative,2.0
6184,save your    i’ll hook u up with a used i phone  😂,strongly positive,1.0
6185,damn edgar let my boy have fun 😂,strongly positive,1.0
6186,oh im reading all of it mashallah its so beautiful 😭,negative,2.0
6187,ok make it black again lol it’s really white how do your students see teacher 😂,strongly positive,1.0
6188,may it rest in peace 😂,strongly positive,1.0
6189,we watched all of her i love new york shows on hulu 😂 and all seasons of flav,strongly positive,1.0
6190,every tweet of you i read in my head with a british accent i just hear how you would say it 😂,strongly positive,1.0
6191,every tweet of you i read in my head with a british accent i just here how you would say it 😂,strongly positive,1.0
6192,her hair is soo bad 😂,strongly positive,1.0
6193,yes i love the random dance scene with her friends like yes i so often do a choreographed dance with my besties 😂,strongly positive,1.0
6194,thank you aabrianna 😂 love you too and i will ❤️🤘🏾🎉,strongly positive,1.0
6195,thank you aabrianna 😂 love you too and i will ❤️🤘🏾🎉,strongly positive,1.0
6196,is it let’s do something fun with your school fees come and buy a table 😂,strongly positive,1.0
6197,yep 😂 spent wayy too much,strongly positive,1.0
6198,i know 😭 why cant we live in peace,negative,2.0
6199,case in point 😂,strongly positive,1.0
6200,look outside your window 😂,strongly positive,1.0
6201,one who obviously doesn’t deserve the woman he’s with 😂,strongly positive,1.0
6202,i tried i keep running out of time 😂 can we add  more s…,strongly positive,1.0
6203,yes and a backwards bonus 😂,strongly positive,1.0
6204,true i love my puns i’m a pun master 😂😂 we probably said the same pun because we have the same name 😂,strongly positive,1.0
6205,stg 😒 but long as im not in the hospital on thanksgiving im good 😂,strongly positive,1.0
6206,this is great 😂,strongly positive,1.0
6207,btsxamas amas  yall had one job its rm not rap monster 😭,negative,2.0
6208,all our hearts are with you may you bless us another look to die for 😭,negative,2.0
6209,he is so excited 😂 im too,strongly positive,1.0
6210,i need engsub lol hes already rapping 😂,strongly positive,1.0
6211,omgg she holding jiminie hand 😂,strongly positive,1.0
6212,same 😂😂 i was like wtf you doing kookie 😂,strongly positive,1.0
6213,same and i’m not even embarrassed tbh 😂,strongly positive,1.0
6214,lol thank u i get that all the time wherever i go 😂 didn’t even know who he was til people kept te…,strongly positive,1.0
6215,😂 i do remember brookside tho,strongly positive,1.0
6216,😂 i remember carbolic it smelt foul,strongly positive,1.0
6217,you make me die 😂,strongly positive,1.0
6218,i’ve come to find out this wasn’t jevs laugh 😂,strongly positive,1.0
6219,is true 😭 nathan 🤗,negative,2.0
6220,nah meen really want any man tweeting bout me rn i need the rest of  and the whole of  to myself 😂,strongly positive,1.0
6221,😭 thats what happens when u drop out of high school,negative,2.0
6222,what am i looking at 😂,strongly positive,1.0
6223,i quit i quit 😂,strongly positive,1.0
6224,lol the best response 😂,strongly positive,1.0
6225,okay i’m literally obsessed cutest pup ever 😭,negative,2.0
6226,barely okay at best 😂,strongly positive,1.0
6227,idc about his looks man 😂,strongly positive,1.0
6228,signing his own death warrant with his hand 😂,strongly positive,1.0
6229,sounds like something jon gruden would say 😂,strongly positive,1.0
6230,it’s because i was doing something else that i was sidetracked 😂,strongly positive,1.0
6231,same i had hope for  secs 😭 my heart,negative,2.0
6232,they were so pressed 😭,negative,2.0
6233,ugh this made me laugh but it also reminded me the song existed and i almost had a good hour without thinking about it 😭,negative,2.0
6234,yea thats as far as i can get with that sentence since i made a promise not to say it 😂,strongly positive,1.0
6235,steve stop it 😂,strongly positive,1.0
6236,scared the crap out of me lol 😂,strongly positive,1.0
6237,i’ve been looking at this picture for more than half an hour and i’m sure there’s nothing there 😂,strongly positive,1.0
6238,yeah that was actually good and made me wanna go check out the shop 😂,strongly positive,1.0
6239,im gonna guess thats a no 😂,strongly positive,1.0
6240,you really are asshole 😂,strongly positive,1.0
6241,i got thick thighs i’m living and he gucci 😂 let me live,strongly positive,1.0
6242,i put money that i’ll see her licking your face i always see videos of her licking your face 😭,negative,2.0
6243,i wish i could go 😭,negative,2.0
6244,i bought her war para may kalaro si cookie and future partner 😂 😂,strongly positive,1.0
6245,it’s hard displaying text 😂,strongly positive,1.0
6246,this is correct i’ve been looking for the girl for ages 😭,negative,2.0
6247,still  goals and  assist and motm and not even a mention 😂,strongly positive,1.0
6248,seriously i bet you think gang rape is hilsrious too 😡,strongly negtive,0.0
6249,they need some tips from your mom 😂,strongly positive,1.0
6250,sounds like some reggie to me 😂,strongly positive,1.0
6251,she only does sponsored videos because her useless fiancé is jobless 😂 how pathetic,strongly positive,1.0
6252,i️ mean if you gonna talk shit you better be able to back it up 😂 every action…,strongly positive,1.0
6253,no one asked 😂,strongly positive,1.0
6254,👏🏻 i can’t wait someone asleep though 😂 xx,strongly positive,1.0
6255,i’ll watch something instead 😭,negative,2.0
6256,it’s a smal ring butt lol i dont got time for these fools 😭,negative,2.0
6257,you missed it she sang that song in your honor hahaha belive me i was laughing 😂 i hate her voice,strongly positive,1.0
6258,what a godawful gif though 😂,strongly positive,1.0
6259,for real this made me laugh what a hr 😂,strongly positive,1.0
6260,hahah i would if i didnt love her so much 😂,strongly positive,1.0
6261,our research presentation and then we got a  😂,strongly positive,1.0
6262,😂 fuck it imma at least get free food out the deal,strongly positive,1.0
6263,looks like im not changing my number 😂,strongly positive,1.0
6264,sof pop nova gaia 😂,strongly positive,1.0
6265,its modest beachwear alexa 😂,strongly positive,1.0
6266,more like connor puke lolol smdh he he 😂,strongly positive,1.0
6267,it looks like its from cardcaptor tbh 😂,strongly positive,1.0
6268,did this on twitter so michael couldn’t call me triggered btw 😂,strongly positive,1.0
6269,when your club ambassador speaks of man united as ‘we’ it’s kind of difficult to like him anymore 😕,neutral,5.0
6270,smashed 😂,strongly positive,1.0
6271,that fan chant tho 😂,strongly positive,1.0
6272,look at how humble my babies aree 😭,negative,2.0
6273,why am i only hearing the fanchant  😂 armys you are all so cute ❤️,strongly positive,1.0
6274,why am i only hearing the fanchant  😂 armys you are all so cute ❤️,strongly positive,1.0
6275,our boys looking like total snacks 😂,strongly positive,1.0
6276,theyre so humble 😭 i love my babies,negative,2.0
6277,😂 give u something to cry about lol  we are light u ready🤛🙄,strongly positive,1.0
6278,was so looking forward to this but so disappointed she didnt even sing 😕,neutral,5.0
6279,confession i had to go look up iftt 😂 i’m a noob at this stuff,strongly positive,1.0
6280,aidan you grew up quickly 😂,strongly positive,1.0
6281,i’d go with none of the above 😂,strongly positive,1.0
6282,i like how they casually don’t mention an increase too like oh yeah here ya go btw you owe us more money 😡,strongly negtive,0.0
6283,i was laughing so hard too when link made that noise 😂,strongly positive,1.0
6284,haha yes 😂 or miley cyrus with “permanent december” 🎶,strongly positive,1.0
6285,does this mean that we get both 😂,strongly positive,1.0
6286,hahahhaa thanks god someone was selling it for a fairly reasonable price 😂,strongly positive,1.0
6287,is that dennis wise he’s picking up 😂,strongly positive,1.0
6288,y’all have two many natural disasters 😭 but its beautiful out there,negative,2.0
6289,you better than me i’d die 😭 earthquakes are all i know,negative,2.0
6290,i just started season  and i’m still having nightmares 😂,strongly positive,1.0
6291,i know it girl i hate it 😭,negative,2.0
6292,😂 i could play it all night aha,strongly positive,1.0
6293,😂 did you talk about football at all,strongly positive,1.0
6294,youre welcome ive been trying really hard to find one of irenes dresses from the mv so i understand the struggle 😂,strongly positive,1.0
6295,what makes the world interesting i’d be miserable in a world full of meez 😂 beetles a…,strongly positive,1.0
6296,those people who left them deserve to burn in hell i cant understand hurting animals 😡,strongly negtive,0.0
6297,tbf i did make on questionable move 😂,strongly positive,1.0
6298,i mean  its probably this 😂,strongly positive,1.0
6299,😂 jaye khassi nabodam fgt nabodam 😂,strongly positive,1.0
6300,nah yall always whoop our ass 😂,strongly positive,1.0
6301,that was a good ass game i aint gon hold you 😂,strongly positive,1.0
6302,right i know ur dead inside 😂 just like me 😂,strongly positive,1.0
6303,😂 that’s your title not mines,strongly positive,1.0
6304,i been confused the entire time 😂,strongly positive,1.0
6305,haha i guess i can’t use cgi to erase my mustache like superman in jl when taking photo for my passport haha 😂,strongly positive,1.0
6306,😭 never knew her name until now thanks,negative,2.0
6307,saame 😭 think food poisoning,negative,2.0
6308,this is the best news i’ve ever received 😭,negative,2.0
6309,welp so much for that 😂,strongly positive,1.0
6310,what size you wear again cause you making me wanna shop with you 😂,strongly positive,1.0
6311,omg that’s my exact face when my ex and i have to converse face to face 😂,strongly positive,1.0
6312,hahahahaha my grandad once said he prefers me to messi 😂 quotes,strongly positive,1.0
6313,dont believe these ones fabricated 😂,strongly positive,1.0
6314,doing shrugs w the smith 😭 when i twisted the bar,negative,2.0
6315,had to use amcap to add colour to your captures with the blue one 😂,strongly positive,1.0
6316,lol kill make you wanna go home 😂,strongly positive,1.0
6317,hahaha i wish i could do that 😂 i’m doing it to where they need to trade their products for education in…,strongly positive,1.0
6318,you don’t sound too confident  😭,negative,2.0
6319,holy shit i thought you were gone 😂,strongly positive,1.0
6320,now i want a juicy pancake 😭 see what you did,negative,2.0
6321,dat was me cause i was intimidated by you before we talked lol 😂 not so much anymoore 🌚💕,strongly positive,1.0
6322,he better not 😂,strongly positive,1.0
6323,be careful when you write your hashtag because acem going to start this wednesday  😂,strongly positive,1.0
6324,or a  something 😂,strongly positive,1.0
6325,hahahaha it’s funnier without context 😂,strongly positive,1.0
6326,i must not be a wife yet 😂 but my next robe def will be a silk one,strongly positive,1.0
6327,they dont even know 😭,negative,2.0
6328,nigga you funny asab you bout to get that verified check soon 😂,strongly positive,1.0
6329,i’ll pass on that too 😭 this girl is gonna do her schoolwork for the following week cause…,negative,2.0
6330,that dude wouldn’t study a script if he had it 😂,strongly positive,1.0
6331,😴😴😴 ya mans got chop out by young buck and didn’t fight back i️ ain’t tryna hear nun he got to say 😂,strongly positive,1.0
6332,says the biggest money spender i know 😂,strongly positive,1.0
6333,tell them im on my way 😂,strongly positive,1.0
6334,same here 😭 lets watch the replay once we reach home,negative,2.0
6335,😭 rip my existance lmaoo but i agree,negative,2.0
6336,too many games not enough me to play them all 😭,negative,2.0
6337,hahaha watch all of it because hes in it a lot its beautiful 😂,strongly positive,1.0
6338,😂 got the baby butt chin bro,strongly positive,1.0
6339,not as much as the guy who benched tyrod taylor 😂,strongly positive,1.0
6340,maybe a postrapture scenario and you’re hilarious 😂,strongly positive,1.0
6341,u r really obsessed with this series 😂,strongly positive,1.0
6342,you right you right 😂,strongly positive,1.0
6343,im proud of you too 😂,strongly positive,1.0
6344,bhahahahahaha wow you replied 😂 i know it was a joke i was just playing along 😂 been a fan for a while now my dude 💕,strongly positive,1.0
6345,good morning from third bench 😂,strongly positive,1.0
6346,a puppy that can tackle me to the ground 😂,strongly positive,1.0
6347,lmao when our birthday is fucking late and we’ve been waiting all year 😂,strongly positive,1.0
6348,love this 😍😍😍😍 nom nom nom 😂,strongly positive,1.0
6349,crack 😂,strongly positive,1.0
6350,a person is prob gonna buy it off me 😂 so if he does i got no more bape,strongly positive,1.0
6351,and its a laughing emoji u retard 😂,strongly positive,1.0
6352,boi i wanna smack you look closer  first pic 😂,strongly positive,1.0
6353,hits me up like everyday and wants me to talk to her but replies back with one word and its annoying 😂,strongly positive,1.0
6354,jfc 😂 ill show u in dms u  weeb,strongly positive,1.0
6355,lmfao that was her snapchat name when she added me wtf 😂,strongly positive,1.0
6356,perfect never too much flannel in my wardrobe 😂,strongly positive,1.0
6357,i don’t want him to leave tho 😭,negative,2.0
6358,man should get a god squad going 😂,strongly positive,1.0
6359,you’re bare cute ffs 😂,strongly positive,1.0
6360,i fan girl every single time i just love her 😭,negative,2.0
6361,lmao i remember what it is 😂,strongly positive,1.0
6362,lol i just need cake ideas i have a note on my phone of one potential cake and party idea 😂,strongly positive,1.0
6363,ill be watchin 👀 maybe ive just been watching the wrong ones 😂,strongly positive,1.0
6364,im not a twat 😂,strongly positive,1.0
6365,youre doomed 😂 was it a surreal experience,strongly positive,1.0
6366,i’m pretty sure army can tell who the real bts stans are 😂,strongly positive,1.0
6367,i hate us 😂,strongly positive,1.0
6368,i think it’s awesome this guy is saying a child needs to prove she was molested rolltide 😂,strongly positive,1.0
6369,wendy’s in new carlisle 😂,strongly positive,1.0
6370,lol 😂 who buys this junk,strongly positive,1.0
6371,buahh entonces eyebags a full 😂,strongly positive,1.0
6372,do that to your manager at work then try telling him hes baby lotion soft let me know what happens 😂,strongly positive,1.0
6373,thank you acolyte aka council for the defence 😂,strongly positive,1.0
6374,that shit is disgusting 😂 like whyy why is she like that,strongly positive,1.0
6375,not sure if that’s what you were going for but i totally read this in the camels voice from the hump day commercial 😂,strongly positive,1.0
6376,feet pizzas 😂,strongly positive,1.0
6377,he’s trained you well 😂,strongly positive,1.0
6378,you tuber 😂 and conor maynards brother,strongly positive,1.0
6379,i’m damn near the funniest bitch i know 😂,strongly positive,1.0
6380,well i may as well do something when i’m unable to move tomorrow 😂,strongly positive,1.0
6381,look what i stumbled upon 😂,strongly positive,1.0
6382,woww this makes me emo 😭,negative,2.0
6383,😂 i tried to hold off but the more i kept watching the more it became good,strongly positive,1.0
6384,i hope she saves me a spot next to satan 😂,strongly positive,1.0
6385,i’m thankful to have missed this ridiculous display  trump has turned the white house into a daycare center  😡,strongly negtive,0.0
6386,it was painful to watch 😡,strongly negtive,0.0
6387,it’s always the ugly bitches 😂 beautiful girls like you know they’re worth more than a guy who is already accounted for,strongly positive,1.0
6388,hahahaha i know i just found it funny 😂,strongly positive,1.0
6389,me trying to reach all my deadlines 😂,strongly positive,1.0
6390,ha i heard 😂,strongly positive,1.0
6391,i’d be so sad 😭,negative,2.0
6392,sensitive 😂 hell nah you niner fans just be ridin us when yall should be worried bout who yall gon draft wit the   pick,strongly positive,1.0
6393,you cant talk bout nobody else team if your team is garbage like that 😂,strongly positive,1.0
6394,hahahahah the best caption 😂,strongly positive,1.0
6395,you a decoy 😂 i️m famous let me shine jp,strongly positive,1.0
6396,i’ll get you high for the first time 😂,strongly positive,1.0
6397,aww im gonna miss you 😭 youre one of my favorites on twitter 💔 but have fun 😊,negative,2.0
6398,ima miss you too 😕,neutral,5.0
6399,us at work 😂,strongly positive,1.0
6400,pure actress 😂,strongly positive,1.0
6401,who will emir your other needs 😂,strongly positive,1.0
6402,my two weeks in a mental ward for depression tells me i already failed this task 😂,strongly positive,1.0
6403,aww hell nah i was gonna pick up a shift today but rosie’s dumb ass gave me strep throat 😂,strongly positive,1.0
6404,they are slacking big time 😭 a bit disappointed,negative,2.0
6405,girl they’re a hassle 😂,strongly positive,1.0
6406,happy birthday bro more chix to come 😂,strongly positive,1.0
6407,wouldnt have expected less from quasi tbh 😂,strongly positive,1.0
6408,girl i’m telling you i couldn’t stop laughing 😂,strongly positive,1.0
6409,nah i think it’s just a crazy curl my bf has one of them always does what it wants 😂,strongly positive,1.0
6410,are you just going to copy tweets 😂,strongly positive,1.0
6411,didn’t get em here 😂,strongly positive,1.0
6412,thats one hell of a tag team 😂,strongly positive,1.0
6413,i bet it was you and your secret back up account wasn’t it 😂,strongly positive,1.0
6414,or youll train 😕,neutral,5.0
6415,hahahah  represent my real me so well 😂 thank you i borrow your pic post 🙏😆,strongly positive,1.0
6416,dammit woman we are talking about the greater good 😂,strongly positive,1.0
6417,so useless i should probably delete them before they continue eating up what little space i have left 😂,strongly positive,1.0
6418,jesus christ also mood 😂,strongly positive,1.0
6419,noo noo noo i dress to kill 😂,strongly positive,1.0
6420,im proud of ya brudda 😂,strongly positive,1.0
6421,na son ion need nobody in my business 😂,strongly positive,1.0
6422,i watched that this morning 😂,strongly positive,1.0
6423,lol i’m coming too 😂,strongly positive,1.0
6424,im glad im not the only one 😂,strongly positive,1.0
